catalog_id,category,title,release_date,authors,wiki_url_mmm,download_url_mmm_docman,youtube_longplay_url
EP-060,MMM-Episoden,Episode 060: Jahrmarkt der Verdammten,2007-05-30,Rondo,http://wiki.maniac-mansion-mania.de/wiki/Jahrmarkt_der_Verdammten,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=151,https://www.youtube.com/watch?v=AR1XvDsUG9I&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=89
EP-061,MMM-Episoden,Episode 061: Bernards Room,2007-06-30,KhrisMUC,http://wiki.maniac-mansion-mania.de/wiki/Bernards_Room,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=157,https://www.youtube.com/watch?v=KN_vPKNQHl8&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=91
EP-062,MMM-Episoden,Episode 062: Bernard gegen Berthold,2007-07-24,JPS,http://wiki.maniac-mansion-mania.de/wiki/Bernard_gegen_Berthold,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=163,https://www.youtube.com/watch?v=90fLYudrua0&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=93
EP-063,MMM-Episoden,Episode 063: Books - Deals unter Nachbarn,2007-08-01,Link2005,http://wiki.maniac-mansion-mania.de/wiki/Books-Deals_unter_Nachbarn,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=164,https://www.youtube.com/watch?v=r5ffpXRu1Ok&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=94
EP-064,MMM-Episoden,Episode 064: Baranoia,2007-08-02,DarthConan,http://wiki.maniac-mansion-mania.de/wiki/Baranoia,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=165,https://www.youtube.com/watch?v=tohRaqINLRQ&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=95
EP-065,MMM-Episoden,Episode 065: Save Smiley!,2007-08-12,Rayman,http://wiki.maniac-mansion-mania.de/wiki/Save_Smiley!,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=166,https://www.youtube.com/watch?v=snesip3zroU&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=96
EP-066,MMM-Episoden,Episode 066: Hoagies neuer Freund,2007-08-12,fireorange,http://wiki.maniac-mansion-mania.de/wiki/Hoagies_neuer_Freund,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=167,https://www.youtube.com/watch?v=narSZwtiN5A&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=97
EP-067,MMM-Episoden,Episode 067: Die Schöne und das Biest,2007-10-13,Edison Interactive; Kruttan; MisterL; Bòógieman; dasJan; Rayman,http://wiki.maniac-mansion-mania.de/wiki/Die_Sch%C3%B6ne_und_das_Biest,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=175,https://www.youtube.com/watch?v=_kK-HJq97UU&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=99
EP-068,MMM-Episoden,Episode 068: MaMMa ante Portas,2007-10-21,Fatal hoch zwei,http://wiki.maniac-mansion-mania.de/wiki/MaMMa_ante_Portas,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=176,https://www.youtube.com/watch?v=Na7BmiFk6N0&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=100
EP-069,MMM-Episoden,Episode 069: Samstag,2007-10-24,Timer,http://wiki.maniac-mansion-mania.de/wiki/Samstag,http://www.maniac-mansion-mania.com/index.php?option=com_docman&task=doc_download&gid=185,https://www.youtube.com/watch?v=KEObsICOykQ&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=101
